id,topic,answer
0,passage,The issue is whether Sandy can recover the “signed moon poster” after she saw the poster for sale on craigslist and realized that it was hers and that she had mistakenly left it in the desk drawer she had sold years before. The answer depends on the classification of the property (poster) as abandoned, lost or mislaid. One who abandons property loses title to it. In contrast, the original owner of mislaid property (or lost property) retains title to it. Here, the poster is clearly not abandoned as Sandy did not have the intent to relinquish her claim to it. The poster will most likely be classified as mislaid property. Mislaid property is property that reasonably seems to be intentionally placed in a specific location and then later forgotten. In this case, the poster is mislaid because Sandy seemed to have placed the poster in the drawer for safe keeping and then forgot about it. Additionally, she had no intention of selling the poster as part of the price for the desk. Therefore, Sandy has a superior claim of title of the “Moon” poster than the current possessor of it.
0,question,What are her rights?
0,issue,"The issue is whether Sandy can recover the signed moon poster after she saw the poster for sale on craigslist and realized that it was hers and that she had mistakenly left it in the desk drawer she had sold years before. The answer depends on the classification of the property (poster) as abandoned, lost or mislaid."
0,rule,Mislaid property is property that reasonably seems to be intentionally placed in a specific location and then later forgotten.
0,inference,"Here, the poster is clearly not abandoned as Sandy did not have the intent to relinquish her claim to it. In this case, the poster is mislaid because Sandy seemed to have placed the poster in the drawer for safe keeping and then forgot about it. Additionally, she had no intention of selling the poster as part of the price for the desk."
0,policy,"One who abandons property loses title to it. In contrast, the original owner of mislaid property (or lost property) retains title to it."
0,conclusion,"Therefore, Sandy has a superior claim of title of the Moon poster than the current possessor of it."
1,passage,"Daniel and Mike owned adjacent residences, each on its own lot, in Mowtown. Both lots bordered side and back on other lots, and on the front, to the north, by Jazz Road. Both men had recently retired. Daniel rented his house to a young family and moved away to live with his son in Citytown. Mike continued to live in his home. After about six months, Mike decided to convert his garage to a den. He built a carport at the rear of his house and laid an asphalt driveway down the side of the house to the carport. The driveway encroached five feet onto Daniel's lot all along its length. The renters didnt appear to notice anything, and Daniel never visited his old home. Seven years later, Daniel was in Mowtown for a company reunion and drove by his old house. He noticed the asphalt driveway and was sure it encroached on his property. A survey documented the encroachment, and Daniel brought an appropriate action to cause Mike to remove the encroaching portion of the driveway."
1,question,"In a jurisdiction whose statutory period for adverse possession is five years, what will be the result of the action brought by Daniel?"
1,issue,"At issue is whether Mike obtained rights over the five feet of driveway that encroached onto Daniel's property. As Daniel did not grant Mike any right to use this stretch of property, Mike can obtain rights to this tract of property by prescriptive easement."
1,rule,A prescriptive easement is created when a person adversely and continuously uses a tract of the true owner's land for the requisite statutory period.
1,inference,"Mike's use of the five-foot tract was also hostile, as he did not have permission from Daniel, and actual and continuous as he paved the land and used it as part of his driveway for the statutory period of time required to acquire rights to the five-foot tract of land. Although Daniel had tenants living on his land when Mike paved it, it was up to Daniel to tend to his land and see that no one encroached upon it."
1,policy,Paving the five-foot tract of Daniel's land was an open and notorious use of that land which could have put Daniel on notice had he inspected his property. 
1,conclusion,"As Daniel did not bring an action until after seven years had passed since Mike paved the tract of land, Daniel will lose and Mike will acquire an easement by prescription."
2,passage,"Manuel and Paulo owned adjacent ranches in Scorpion Desert. Manuel Ranch was to the north of Paulo Ranch, and deeper into the canyon; the only public road in the area ran along the southern border of Paulo Ranch. For years, Manuel and Paulo had had an understanding that Manuel could use a ten-foot wide dirt road running along the western edge of Paulo's ranch for ingress and egress to Manuel Ranch from the public road. In 1965, Jose bought both ranches but continued to operate them as separate entities; the foreman and hands of Manuel Ranch continued to use the dirt road across Paulo Ranch to get from Manuel Ranch to the public road. In 1975, Jose sold Manuel Ranch to Alejandro; included in the deed was the following: 'Alejandro, his heirs and assigns, shall have the use of the dirt road running along the western border of Paulo Ranch for ingress and egress to Manuel Ranch."
2,question,"If Raul succeeds in resisting Pedro's action, it will be because:"
2,issue,"At issue is whether Pedro is allowed to alter the dirt road, over which he has rights by express easement contained in the deed from Alejandro."
2,rule,"If the owner of the dominant estate changes the scope of the easement, he can be enjoined by the owner of the servient estate from changing the scope if the servient estate owner can show that it would create an unreasonable burden to the servient estate and exceeds normal, foreseeable development."
2,inference,"Although Pedro, as the new owner of the dominant estate, has an express easement with rights to use the dirt road, Raul can argue that Pedro's intent to triple the width of the dirt road and increase traffic to the residential subdivision exceeds the scope of the easement which was for egress and ingress to Manuel Ranch."
2,policy,
2,conclusion,"While it is foreseeable that the dirt road may need to be paved and expanded to allow for new vehicles and better maintenance of the easement, the tripled expansion of the easement and increase in traffic to the subdivision will likely allow Raul to succeed in resisting Pedro's action."
3,passage,"Several like-minded persons, including Seth, purchased land surrounding Lake Waban. The former owner of all the parcels wished to preserve Lake Waban in its natural setting for camping and fishing, and so inserted into the deeds, by which each purchaser took title, language sufficient to create an equitable restriction prohibiting the construction of any permanent structure thereon or the use for any purpose other than camping, fishing or related recreation. Pat took possession of the parcel owned by Seth, established various hiking trails thereon, hand-graded a campsite, and occupied and used the property in a manner and for a period sufficient to acquire title to it by adverse possession."
3,question,What is the likely outcome of Gary's action?
3,issue,"At issue is whether the Waban restrictions are enforceable against Frank, who took title to his land from an adverse possessor."
3,rule,"This equitable servitude must be in writing, with the intent to bind successors in interest and must touch and concern the land. Successors in interest must also have notice that such a restriction exists and is in force."
3,inference,"In order for Gary to enforce the restrictions against Frank, the restrictions must run with the land A restriction runs with the land if it passes automatically to successive owners or occupiers of that land. As for the notice requirement, although Pat took possession of the property from Seth as an adverse possessor who then sold the property to Frank, adjoining property owners may still enforce the restriction. Frank could have performed a title search to examine who owned the property before Pat where he may have found the restriction in Seth's deed, if it was recorded. More importantly, Frank also could have been put on constructive or implied notice if one of the other property owners informed him of the restriction or if he observed that there were not any other permanent structures on Lake Waban, which might have tipped him off that such an equitable restriction enforcing conservation may be in place."
3,policy,"The former owner of the all the parcels inserted an equitable servitude into all the deeds of the new property owners with the intent that they preserve the natural environment around the Lake. Such a restriction touches and concerns each parcel of land, as the owners are barred from making improvements that are not in line with the restriction."
3,conclusion,"Although Frank was not an original purchaser, and bought the property from an adverse possessor, the equitable servitude still runs with the land and may be enforced by Gary, an adjoining property owner who is under the same restriction and has standing to enforce it in a court of equity."
4,passage,"Silver Lake Aquatic Merchandise (SLAM), a retailer of personal Waveski and speedboats, agreed to sell to Bilge a Waveski 2000 model personal Waveski for $10,000. The written contract specified delivery within 30 days and a down payment of $2,000, but did not contain a liquidated damages clause. Two weeks after making the down payment, Bilge told SLAM that he lost his job and could not afford to go through with the purchase, and asked for his down payment back."
4,question,"Bilge sues SLAM to get back his deposit, and SLAM counterclaims for damages. How would you calculate the damages?"
4,issue,"The issue is what amount of damages SLAM can recover, if any."
4,rule,"Generally, expectation damages are assessed by putting the non-breaching party in as good as a position as they would have been had the contract been performed. With goods that is measured by lost profit, if they would have had more than one of those goods to sell."
4,inference,"Here, SLAM has an unlimited amount of Waveskis it can sell, and therefore an unlimited amount of profit. It resold the Waveski, so was only out the profit it would have made had Bilge not breached. The contract price was $10,000 and the price to Slam was $7,000, meaning there was a profit of $3,000."
4,policy,
4,conclusion,"Because Bilge had already made a down payment of $2,000 SLAM will recover $1,000, and Bilge will not get his down payment back."
